Name,Latitude,Longitude,Earliest age in sample,Latest age in sample,Modern Country,Direct / indirect,Exact Age / Minimum Age / Max Age,Calibrated,Kind,Figurative
"Possum Cave, Queensland, Australia",-10.7,142.51667,9501,2217,Australia,Indirect,Minimum age,Yes,Engraving,No
"Prung-Cart Cave, South Australia (near Millicent)",-37.09041,140.82979,2783,1076,Australia,Indirect,Minimum age,Yes,Figure fluting,Unknown
"Puritijarra, Cleland Hills, Northern Territory, Australia",-23.88333,130.86667,2747,548,Australia,Indirect,Minimum age,Yes,Engraving,No
"Quinkans B6 Rockshelter, Queensland, Australia",-15.62860,144.53080,2999,845,Australia,Indirect,Minimum Age,Unknown,Engraving & Painting,No
"Qurta, Egypt",24.62917,32.96250,17000,10000,Egypt,Direct,Exact Age,Yes,Petroglyph,Yes
"Racecourse Site, Queensland, Australia",-17.17470,144.49940,2031,2031,Australia,Direct,Exact Age,Yes,Drawing,No
"Red Lady, Queensland, Australia",-15.76212,144.25756,8213,8213,Australia,Indirect,Minimum Age,Yes,Painting,Yes
"Robin Hood Cave and Church Hole, Creswell Crags, UK",53.26349,-1.19353,15700,13200,UK,Indirect,Minimum Age,Yes,Engravings,Yes
"RSA TYN2 , Drakensberg Mountains, Eastern Cape, South Africa",-29.46667,29.26667,2009,1971,South Africa,Direct,Exact age,Yes,Paintings,Unknown
"Sandy Creek 1 & 2, Queensland, Australia",-16.00000,144.00000,33676,2964,Australia,Indirect,Minimum Age,Yes,Painting,Yes
"Serpent's Glen 1, Wiluna, Western Australia",-25.21667,120.75000,3417,377,Australia,Direct,Exact Age,Yes,Painting,No
"Snake Site, Cannon Hill, Northern Territory, Australia",-12.30000,132.57000,563,563,Australia,Indirect,Minimum age,Yes,Painting,N/A
"Steenbokfontein Cave, South Africa",-32.16167,18.33333,9392,2200,South Africa,Indirect,Minimum age,Yes,Painting,No
"Spirit Cave, Anbangbang, Kakadu, Northern Territory, Australia",-12.86552,132.81400,14182,3747,Australia,Indirect,Minimum Age,Yes,Painting,No
"Split rock, Queensland, Australia",-15.65250,144.49750,7433,7433,Australia,Direct,Exact Age,No,Painting,N/A
"Steenbokfontein Cave, South Africa",-32.16167,18.33333,9393,2200,South Africa,1999,AMS dating,Indirect,Minimum age,No
"Sturt Meadows, New South Wales, Australia",-31.11000,140.40000,12237,11978,Australia,Indirect,Minimum Age,Yes,Engraving,N/A
"Tassili-n-Ajjer, Algeria",25.81360,8.13386,8237,2287,Algeria,Indirect,N/A,Yes,Paintings,Yes
"Tennessee, Cumberland Plateau",35.94960,-85.02705,5698,N/A,USA,Direct,Exact Age,Yes,Charcoal pictograph,Yes
"Tito Bustillo Cave, Spain",43.46071,-5.06739,36200,29650,Spain,Indirect,Mixed,Yes,Paintings,Yes
"uKhalamba, South Africa",-29.38049,29.54600,4050,990,South Africa,Indirect,Maximum age,Yes,Painting,Yes
"Unnamed sites 1-3, Kimberley, Western Australia",-17.34918,125.91521,23800,Modern,Australia,Indirect,Minimum Age,No,Painting,Yes
"Urdiales, Spain",43.36882,-3.21564,15223,15223,Spain,Direct,Exact age,Yes,Painting,Yes
"Urkan-e-Rub, Lower Jordan Valley, Israel",32.42288,35.30272,20204,16750,Israel,Unknown,Unknown,Unknown,Engraving,No
"Villars, France",45.44228,0.78514,21735,17473,France,Direct,Exact age,Yes,Drawings and torch rubbings,No
"Walkunder Arch Cave, Queensland, Australia",-17.22970,144.51690,34254,3575,Australia,Indirect,"Maximum age for date to use; different samples have minimum age, maximum age, middle date, and supporting date",Yes,Paintings & Engraving,N/A
"Wanga East, Northern Territory, Australia",-24.19000,131.40000,8093,1332,Australia,Indirect,Minimum age,Yes,Engraving,Yes
"Waterfall Cave, New South Wales, Australia",-35.42000,150.11000,604,N/A,Australia,Direct,Exact Age,Yes,Painting,No
"Wharton Hill, Australia",-32.64000,139.77000,41084,36400,Australia,Indirect,Minimum age,No,Petroglyph,Yes
"Winnemucca Lake, Nevada, Usa",40.12185,-119.33962,12500,12500,USA,Indirect,Minimum age,Yes,Painting,No
"Wonderwerk Cave, South Africa",-27.84673,23.55418,11898,1210,South Africa,Indirect,Minimum age,Unknown ,Engraving,No
"Wurik (Mann River E1002, 1004, 1005)., Northern Territory, Australia/Yikarrakkal (Mann River A1005), Northern Territory, Australia",-12.21948,134.14352,646,183,Australia,Direct,Exact Age,Yes,Beeswax,Yes
"Yam Camp, Cape York, Queensland, Australia",-15.78230,144.23410,682,602,Australia,Direct,"Exact Age, but latest date is minimum age",Yes,Painting,Yes
"Yiwarlarlay, Northern Territory, Australia",-12.36686,130.88125,4592,3386,Australia,Indirect,Minimum age,Yes,Engraving,Yes
"Yunta Springs, South Australia",-32.54000,139.55000,17020,1398,Australia,Indirect,Minimum age,Yes,Engraving,Mixed 
